Energy (E),Reflectivity (R),Transmissivity (T)
2.6961602671118534,0.21271286848182347,0.7872871315181765
2.714524207011685,0.21142890843300696,0.788571091566993
2.7328881469115185,0.2101533723855012,0.7898466276144989
2.751252086811352,0.20888634710588833,0.7911136528941116
2.7696160267111853,0.2076277929076732,0.7923722070923268
2.7879799666110188,0.20637764861543753,0.7936223513845625
2.8063439065108504,0.20513584980930505,0.794864150190695
2.824707846410684,0.20390233141205322,0.7960976685879468
2.8430717863105173,0.2026770282120384,0.7973229717879616
2.8614357262103507,0.20145987503994978,0.7985401249600502
2.879799666110184,0.2002508068204934,0.7997491931795067
2.8981636060100158,0.19904975843825354,0.8009502415617464
2.916527545909849,0.19785666330686494,0.8021433366931351
2.9348914858096826,0.19667144166046818,0.8033285583395318
2.953255425709516,0.19549393087873576,0.8045060691212642
2.9716193656093495,0.19432381678542676,0.8056761832145732
2.989983305509181,0.1931617279292021,0.8068382720707978
3.0083472454090145,0.19200811720721267,0.8079918827927873
3.026711185308848,0.19086184179974924,0.8091381582002508
3.0450751252086814,0.18972290479166626,0.8102770952083338
3.063439065108513,0.18859139426926674,0.8114086057307333
3.0818030050083465,0.18746728723842435,0.8125327127615757
3.10016694490818,0.1863505351731721,0.8136494648268279
